_id,LOKASI,KAB_KOTA,PAGU
573,37 PAPUA TENGAH,37 05 KAB. PUNCAK,162967378000
574,37 PAPUA TENGAH,37 06 KAB. DOGIYAI,23284558000
575,37 PAPUA TENGAH,37 07 KAB. INTAN JAYA,28789359000
576,37 PAPUA TENGAH,37 08 KAB. DEIYAI,30744392000
577,38 PAPUA PEGUNUNGAN,38 00 PAPUA PEGUNUNGAN,12089563000
578,38 PAPUA PEGUNUNGAN,38 01 KAB. JAYAWIJAYA,612255695000
579,38 PAPUA PEGUNUNGAN,38 02 KAB. YAHUKIMO,209196780000
580,38 PAPUA PEGUNUNGAN,38 03 KAB. TOLIKARA,94322341000
581,38 PAPUA PEGUNUNGAN,38 04 KAB. MAMBERAMO TENGAH,22696430000
582,38 PAPUA PEGUNUNGAN,38 05 KAB. YALIMO,98587459000
583,38 PAPUA PEGUNUNGAN,38 06 KAB. PEGUNUNGAN BINTANG,248418889000
584,38 PAPUA PEGUNUNGAN,38 07 KAB. LANNY JAYA,46497400000
585,38 PAPUA PEGUNUNGAN,38 08 KAB. NDUGA,13440038000
586,39 PAPUA BARAT DAYA,39 00 PAPUA BARAT DAYA,226940387000
587,39 PAPUA BARAT DAYA,39 02 KAB. SORONG,3828957000
588,39 PAPUA BARAT DAYA,39 03 KAB. SORONG SELATAN,20061676000
589,39 PAPUA BARAT DAYA,39 04 KAB. RAJA AMPAT,19265177000
590,39 PAPUA BARAT DAYA,39 05 KAB. TAMBRAUW,6689986000
591,39 PAPUA BARAT DAYA,39 06 KAB. MAYBRAT,3773180000
592,39 PAPUA BARAT DAYA,39 51 KOTA SORONG,574152293000
