_id,tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
43,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Eretan Balekambang no 123,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
44,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Ciliwung,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
45,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Gedong,Gedong,Pasar Rebo,Kota Administrasi Jakarta Timur,32,0,201802
46,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Bidara Cina,Bidara CIna,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
47,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,"Jl.Kebon Pala Tanah Rendah Gg,II No 32",Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
48,2018-02-05T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Bunggur raya dan Gunung sahari,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,201802
49,2018-02-05T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Kampung Gusti,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,0,0,201802
50,2018-02-05T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Gunuk,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,50000000,201802
51,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Gunuk V,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
52,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Gg.Perintis,Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,201802
53,2018-02-06T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Gg.Buntu,Petukangan Selatan,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,201802
54,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Komplek Zeni,Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
55,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Bina Marga,Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
56,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,"Jl.Masjid Al-Makmur,Gg.Buntu",Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,85,0,201802
57,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,"Jl.J,Perintis",Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,201802
58,2018-02-06T00:00:00,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Petugas Instansi Lain,Jl.Pasar Jumat,Lebak bulus,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201802
59,2018-02-05T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Raya Cakung Cilincing,Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,0,0,201802
60,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Perumahan Bukit Duri Permai,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
61,2018-02-09T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Taman Harapan,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
62,2018-02-09T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kayu Manis,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
63,2018-02-09T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kebon Pala,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
64,2018-02-09T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pengadegan Timur I,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
65,2018-02-09T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Kp. Lebak,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
66,2018-02-09T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Masjid Al - Makmur,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
67,2018-02-09T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Jatinegara Barat,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
68,2018-02-09T00:00:00,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,"SMK Pekojan, Jl. Gedung Panjang No.17",Pekojan,Tambora,Kota Administrasi Jakarta Barat,0,0,201802
69,2018-02-09T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Prepedan Raya No.99,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,0,0,201802
70,2018-02-09T00:00:00,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Tenlis I No.24,Kebon Melati,Tanah Abang,Kota Administrasi Jakarta Pusat,0,300000,201802
71,2018-02-10T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Masjid Al Makmur,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
72,2018-02-10T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl. Gunuk, Poltangan",Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
73,2018-02-10T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Pangadegan Timur,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
74,2018-02-10T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Bina Warga ( Komp Zeni V ),Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
