_id,tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
354,2018-02-12T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Tanah Tingga Barat No.5,Bungur,Senen,Kota Administrasi Jakarta Pusat,0,0,201802
355,2018-02-12T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Komplek Zeni,Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
356,2018-02-12T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pangadegan Timur I,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
357,2018-02-12T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,"Jl. Masjid Al - Makmur, Kp. Bulak",Pesanggrahan,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,201802
358,2018-02-12T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Universitas Pancasila Gg. Bukudikrama No.38,Srengseng Sawah,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201802
359,2018-02-13T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. M. Kahfi, Gg. Rukun, No. 99",Ciganjur,Jagakarsa,Kota Administrasi Jakarta Selatan,1,5000000,201802
360,2018-02-13T00:00:00,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. KP. Pangkalan,Semanan,Kalideres,Kota Administrasi Jakarta Barat,0,0,201802
361,2018-02-13T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Jati Padang Raya,Jatipadang,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,50000000,201802
362,2018-02-13T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Mampang Prapatan, No. 75B",Mampang Prapatan,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,201802
363,2018-02-13T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Kembang VI,Kwitang,Senen,Kota Administrasi Jakarta Pusat,0,0,201802
364,2018-02-13T00:00:00,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Cipulir VI,Cipulir,Kebayoran Lama,Kota Administrasi Jakarta Selatan,0,0,201802
365,2018-02-13T00:00:00,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Petugas Pemadam,Jl. Wijaya Kusuma,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201802
366,2018-02-13T00:00:00,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Komp. Pemadam Kebakaran JakUt,Semper Barat,Cilincing,Kota Administrasi Jakarta Utara,0,0,201802
367,2018-02-13T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. M. Kahfi I, Gg. Benda ( Sekolah MTSN 2 ), No. 34",Ciganjur,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201802
368,2018-02-13T00:00:00,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Masyarakat Datang,Jl. Daan Mogot Kav. 100,Wijaya Kusuma,Grogol Petamburan,Kota Administrasi Jakarta Barat,0,0,201802
369,2018-02-13T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Komp. Metland Cluster Terresa Blok J.9,Ujung Menteng,Cakung,Kota Administrasi Jakarta Timur,1,700000000,201802
370,2018-02-13T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. H. Abdurahman,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
371,2018-02-13T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Inspeksi,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
372,2018-02-14T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pantai Karnaval, Taman Impian Jaya Ancol",Ancol,Pademangan,Kota Administrasi Jakarta Utara,0,35000000,201802
373,2018-02-14T00:00:00,Penyelamatan,Pohon Tumbang,Masyarakat Datang,"Jl. Pluit Utara Raya, No. 17-19",Pluit,Penjaringan,Kota Administrasi Jakarta Utara,0,0,201802
374,2018-02-14T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"JL. Pangadegan Selatan, Gg. Langgar",Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
375,2018-02-14T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Bangka I,Pela Mampang,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,2000000,201802
376,2018-02-14T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.SD 03,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,0,0,201802
377,2018-02-14T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Pancoran Barat VI,Pancoran,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
378,2018-02-14T00:00:00,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl.RE.Marta Dinata ( Depan Pos Bintang Mas ),Ancol,Pademangan,Kota Administrasi Jakarta Utara,0,0,201802
379,2018-02-14T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl.Sunter Agung Indah,Sunter Agung,Tanjung Priok,Kota Administrasi Jakarta Utara,0,0,201802
380,2018-02-14T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Datang,Wisma Atlet,Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,201802
381,2018-02-14T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Pejompongan Raya No 08,Bendungan Hilir,Tanah Abang,Kota Administrasi Jakarta Pusat,0,7500000,201802
382,2018-02-15T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kayu Besar,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,1,17000000,201802
383,2018-02-14T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Kavling Hankam Blok W II No 09,Joglo,Kembangan,Kota Administrasi Jakarta Barat,0,0,201802
384,2018-02-15T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Mampang Perapatan,Kuningan Barat,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,201802
385,2018-02-14T00:00:00,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Masyarakat Datang,Jl.Ksatrian X No 22,Kebon Manggis,Matraman,Kota Administrasi Jakarta Timur,0,0,201802
386,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,"Jl. Boulevard Barat, Depan MOI",Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,201802
387,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Cakung Drain Titik Kenal Kali Sepatan,Semper Timur,Cilincing,Kota Administrasi Jakarta Utara,0,0,201802
388,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kapuk Kamal Raya,Kamal Muara,Penjaringan,Kota Administrasi Jakarta Utara,0,0,201802
389,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. H Benyamin Sueb,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,0,0,201802
390,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Depan Pengadilan Jakarta Utara,Sunter Jaya,Tanjung Priok,Kota Administrasi Jakarta Utara,0,0,201802
391,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Pluit Permai,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,0,0,201802
392,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Pulo Nangka II,Kayu Putih,Pulogadung,Kota Administrasi Jakarta Timur,0,0,201802
393,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,"Belakang Jakarta Garden City, Jl. Waru VII",Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,0,0,201802
394,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Kp. Prepedan,Pegadungan,Kalideres,Kota Administrasi Jakarta Barat,0,0,201802
395,2018-02-15T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Percetakan Negara II,Johar Baru,Johar Baru,Kota Administrasi Jakarta Pusat,0,0,201802
396,2018-02-15T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. H. Bara II No.39,Depok,Depok,Kota Depok,0,300000000,201802
397,2018-12-19T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Kupu Kupu ( Perum Mutiara Cibubur ),Pondok Rangon,Cipayung,Kota Administrasi Jakarta Timur,0,0,201812
398,2018-12-19T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. PDK Lebak Bulus No. 25 Titik Bebek Slamet,Lebak Bulus,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201812
399,2018-12-19T00:00:00,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Buntu,Munjul,Cipayung,Kota Administrasi Jakarta Timur,0,0,201812
400,2018-12-19T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Telepon,Jl. Trikora ( Sebrang Halte Harapan Bunda ),Gedong,Pasar Rebo,Kota Administrasi Jakarta Timur,0,0,201812
401,2018-12-19T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Raya Ragunan, Blok. G1, Komplek Kejaksaan Agung",Pasar Minggu,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201812
402,2018-12-19T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Persatuan,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201812
403,2018-12-19T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Rusun Dakota,Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,201812
404,2018-12-20T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Jati Kemuning,Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,1,100000000,201812
405,2018-12-20T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Percetakan Negara Raya, No. D762",Johar Baru,Johar Baru,Kota Administrasi Jakarta Pusat,0,0,201812
406,2018-12-20T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Kramat Jaya Gg.8,Tugu Utara,Koja,Kota Administrasi Jakarta Utara,0,0,201812
407,2018-12-20T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl.Batu Merah I No..41 ( Belakang Komplek Bulak Rantai ),Batu Ampar,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201812
408,2018-12-20T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Pulau Tidung,Pulau Tidung,Kep. Seribu Selatan,Kota Administrasi Jakarta Utara,0,0,201812
409,2018-12-20T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Pulau Untung Jswa,Pulau Untung Jawa,Kep. Seribu Selatan,Kota Administrasi Jakarta Utara,0,1000000,201812
410,2018-12-20T00:00:00,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Pulau Harapan,Pulau Harapan,Kep. Seribu Utara,Kota Administrasi Jakarta Utara,0,500000,201812
411,2018-12-20T00:00:00,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Pal Merah Barat 4,Palmerah,Palmerah,Kota Administrasi Jakarta Barat,0,150000,201812
412,2018-12-20T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Taman Sari 1 No..5,Lebak Bulus,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201812
413,2018-12-21T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl Rajawali Selatan,Gunung Sahari Utara,Sawah Besar,Kota Administrasi Jakarta Pusat,17,1000000000,201812
414,2018-12-21T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mangga Dua (Komp. Mangga Dua Mas),Mangga Dua Selatan,Sawah Besar,Kota Administrasi Jakarta Pusat,0,0,201812
415,2018-12-21T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Teuku Umar Menteng,Menteng,Menteng,Kota Administrasi Jakarta Pusat,0,80000000,201812
416,2018-12-21T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Tol Cikampek KM.01 (Pintu Keluar Halim),Kebon pala,Makasar,Kota Administrasi Jakarta Timur,0,100000000,201812
417,2018-12-21T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. K.H. Taisir No.2,Palmerah,Palmerah,Kota Administrasi Jakarta Barat,1,60000000,201812
418,2018-12-21T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Dr, Sumarno Eramas 2000",Pulogadung,Pulogadung,Kota Administrasi Jakarta Timur,1,500000000,201812
419,2018-12-21T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. H. Nawi I,Bintaro,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,201812
420,2018-12-21T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Jiexpo Kemayoran,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,201812
421,2018-12-21T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Istora Senayan,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
422,2018-12-22T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Jembatan Besi II Gg. Asem No..7,Jembatan Besi,Tambora,Kota Administrasi Jakarta Barat,1,30000000,201812
423,2018-12-22T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Raya Kebayoran Lama, No. 9",Kebayoran Lama Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,3,60000000,201812
424,2018-12-22T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Jatiwaringin, No. 20 (Depan BRI Pangkalan Jati)",Cipinang Melayu,Makasar,Kota Administrasi Jakarta Timur,0,0,201812
425,2018-12-22T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pademangan, 6 No. 26",Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,1,100000,201812
426,2018-12-22T00:00:00,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Datang,Jl. M. Kahfi 1 ( Samping SPBU Kampung Kandang ),Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201812
427,2018-12-06T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Gapung,Srengseng Sawah,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201812
428,2018-12-06T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,"Islamic Center, Jl. Keembang Raya",Kwitang,Senen,Kota Administrasi Jakarta Pusat,0,0,201812
429,2018-12-06T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,"Gedung Kementerian Pendidikan dan Kebudayaan, Jl. Jend. Sudirman No..19",Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
430,2018-12-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Marunda Makmur,Marunda,Cilincing,Kota Administrasi Jakarta Utara,0,0,201812
431,2018-12-06T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Kebaguasan Raya No..37,Kebagusan,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201812
432,2018-12-06T00:00:00,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Datang,Jl. Musi Cideng Barat,Cideng,Gambir,Kota Administrasi Jakarta Pusat,0,0,201812
433,2018-12-06T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Tebet barat Dalam X,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,0,150000000,201812
434,2018-12-06T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. M. Kahfi I Gg. Kartini,Ciganjur,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201812
435,2018-12-06T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Singa Raja,Pejaten Barat,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201812
436,2018-12-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. H. Ipin,Lebak Bulus,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201812
437,2018-12-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Baret Biru IV, No. 06",Cijantung,Pasar Rebo,Kota Administrasi Jakarta Timur,0,0,201812
438,2018-12-07T00:00:00,Penyelamatan,Pohon Tumbang,Jakarta Siaga 112,"Jl Kemanggisan Utama Raya, No. 14",Kemanggisan,Palmerah,Kota Administrasi Jakarta Barat,0,0,201812
439,2018-12-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,"Jl. Bermis Blok, L5T, No. 16",Pluit,Penjaringan,Kota Administrasi Jakarta Utara,0,0,201812
440,2018-12-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Kelapa Gading Cengkir,Kelapa gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,201812
441,2018-12-07T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Eco Park Ancol,Ancol,Pademangan,Kota Administrasi Jakarta Utara,0,0,201812
442,2018-12-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Patimura, No. 25",Selong,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,201812
443,2018-12-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. M. Kahfi 1, No. 44",Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201812
444,2018-12-07T00:00:00,Penyelamatan,Bencana pada Ketinggian (operasi penyelamatan Beda Ketinggian),Masyarakat Datang,Jl. Jend. Sudirman (Dukuh Atas),Menteng,Menteng,Kota Administrasi Jakarta Pusat,0,0,201812
445,2018-12-07T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,"Jl. Jend. Sudirman, No. 19 (Gedung Kemendikbud)",Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
446,2018-12-07T00:00:00,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Telepon,"Jl. Cideng Barat, No. 70B",Cideng,Gambir,Kota Administrasi Jakarta Pusat,0,0,201812
447,2018-12-08T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Komplek Taman Permata Indah 2, Blok K1, No. 23",Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,0,59000000,201812
448,2018-12-08T00:00:00,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Datang,Rusun Marunda Blok A,Marunda,Cilincing,Kota Administrasi Jakarta Utara,0,0,201812
449,2018-12-08T00:00:00,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.Matraman Raya,Pal Meriam,Matraman,Kota Administrasi Jakarta Timur,0,300000000,201812
450,2018-12-08T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Amir Wahab,Kramat Jati,Kramat Jati,Kota Administrasi Jakarta Timur,0,35000000,201812
451,2018-12-08T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Stadion GBK,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
452,2018-12-08T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl.Asia Afrika No..19,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
453,2018-12-08T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl.Baret Biru IV No..G 6,Cijantung,Pasar Rebo,Kota Administrasi Jakarta Timur,0,0,201812
454,2018-12-08T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl.Jendral Sudirman No..19,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
455,2018-12-08T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Stadion PTIK,Melawai,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,201812
456,2018-12-08T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Stadion Gelora Bung Karno,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
457,2018-12-09T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Inspeksi pool PPD,Cakung Barat,Cakung,Kota Administrasi Jakarta Timur,5,3000000,201812
458,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Pintu Stasiun Gambir,Gambir,Gambir,Kota Administrasi Jakarta Pusat,0,0,201812
459,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. MH. Thamrin,Menteng,Menteng,Kota Administrasi Jakarta Pusat,0,0,201812
460,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Pintu 6 Senayan,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
461,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. BUPERTA Cibubur,Cibubur,Ciracas,Kota Administrasi Jakarta Timur,0,0,201812
462,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Monumen Nasional ( Monas ),Gambir,Gambir,Kota Administrasi Jakarta Pusat,0,0,201812
463,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Jl. Prapanca No.. 9,Petogogan,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,201812
464,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Kawasan Silang Monas,Gambir,Gambir,Kota Administrasi Jakarta Pusat,0,0,201812
465,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,"Gedung Kementerian Pendidikan dan Kebudayaan, Jl. Jend. Sudirman No..19",Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
466,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Senayan City,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
467,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Tenis Indoor Senayan,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
468,2018-12-09T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Stadion Gelora Bung Karno,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
469,2018-12-09T00:00:00,Penyelamatan,Pengendalian Hewan,Jakarta Siaga 112,Jl. P. Komarudin No..59,Pulo Gebang,Cakung,Kota Administrasi Jakarta Timur,0,0,201812
470,2018-12-09T00:00:00,Penyelamatan,Pertolongan Gawat Darurat (Ambulan).,Masyarakat Datang,Jl. Matraman Raya,Kebon Manggis,Matraman,Kota Administrasi Jakarta Timur,0,0,201812
471,2018-12-09T00:00:00,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Raya Kalisari,Pekayon,Pasar Rebo,Kota Administrasi Jakarta Timur,0,0,201812
472,2018-12-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Tamal Palem Lestari, Blok C, No. 66",Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,0,250000000,201812
473,2018-12-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Nangka, No. 60",Tanjung Barat,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201812
474,2018-12-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Raya Cipayung, No. 43 ( SMUN 64 )",Cipayung,Cipayung,Kota Administrasi Jakarta Timur,0,4000000,201812
475,2018-12-10T00:00:00,Penyelamatan,Pohon Tumbang,Masyarakat Telepon,Jl. Danau Tondano,Bendungan Hilir,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201812
476,2018-12-10T00:00:00,Penyelamatan,Pohon Tumbang,Jakarta Siaga 112,Jl. Tebet Timur Raya ( Taman Bibit ),Tebet Timur,Tebet,Kota Administrasi Jakarta Selatan,0,0,201812
477,2018-12-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Petamburan II, No. 24",Petamburan,Tanah Abang,Kota Administrasi Jakarta Pusat,1,50000000,201812
478,2018-12-10T00:00:00,Penyelamatan,Pohon Tumbang,Jakarta Siaga 112,Jl. Bintaro Permai Ujung,Bintaro,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,201812
479,2018-12-10T00:00:00,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Cilandak Dalam,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201812
480,2018-12-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Raya Rorotan, Babek TNI (PT. Prodesco)",Rorotan,Cilincing,Kota Administrasi Jakarta Utara,0,0,201812
481,2018-12-10T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Telepon,Jl. Tarian Raya Barat,Pegangsaan Dua,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,201812
482,2018-12-10T00:00:00,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,"Jl. Manggarai Utara I, Blok F1",Manggarai,Tebet,Kota Administrasi Jakarta Selatan,0,0,201812
483,2018-12-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,Jl. Bangka 8A No. 32,Bangka,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,201812
484,2018-12-11T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. H. Hasan, No. 3",Baru,Pasar Rebo,Kota Administrasi Jakarta Timur,1,15000000,201812
485,2018-12-11T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Telepon,"Jl. Kesatriaan Raya, No. 15",Kebon Manggis,Matraman,Kota Administrasi Jakarta Timur,1,2000000,201812
486,2018-12-11T00:00:00,Penyelamatan,Pengendalian Hewan,Petugas Instansi Lain,Jl.Gaharu 1 No..14,Cipete Selatan,Cilandak,Kota Administrasi Jakarta Selatan,0,0,201812
